0
Alimentation générale
Restaurant
_
Rayon pain-viennoiserie-pâtisserie
Boulangerie-Pâtisserie
Traiteur
Poissonnerie
Rayon poissonnerie
Rayon boucherie-charcuterie
Primeur
Boucherie-Charcuterie
Rayon fruits & légumes
Chocolatier
Rayon fromagerie
Découpe de viande de boucherie
Chaîne d'abattage d'animaux boucherie/Gibier ongulé élevage
Transformation de produits de la pêche
Transport de denrées alimentaires
Restauration collective
Transformation de lait ou produits laitiers
Transformation de produits carnés
Libre service
Mareyage et préparation de produits de la pêche
Rayon pain/viennoiserie/pâtisserie
Centre d'emballage des oeufs
Chaîne d'abattage de volaille/lagomorphe/petit gibier
Producteur fermier
Entreposage de produits laitiers
Purification/Expédition de coquillages
Commerce alimentaire
Entreposage de distribution de denrées alimentaires
Rayon traiteur
Caves d'affinage
Production d'œuf liquide d'ovoproduit et produits à base œuf
Métier de bouche
Fromagerie
Collecte de lait
VH, VSM, préparation viandes boucherie
Découpe de viandes de volailles/lagomorphe
Entreposage de viande de volailles
Pêche de production primaire
Découpe de fromages
Découpe de gibier sauvage
Salle d'abattage à la ferme
Entreposage de produits de la pêche
VH, VSM, préparation viandes volailles lagomorphes
Production de produits à base d'escargots
Halle à M./1ére vente/Vente en gros produits de la pêche
Entreposage non spécialisé de denrées alimentaires
Glacier
Traitement du gibier sauvage
Autres activités de remise directe
Préparation de produits composés
Production de produits à base de grenouilles
Entreposage de viande de boucherie
Déshydratation de lait ou produits laitiers
Vente en gros de viande de boucherie
Vivier produits de la pêche
Abattage de produits de l'aquaculture
Responsable de restauration collective
Centre logistique de débarque de produits de la pêche
Gestion administrative-Remise directe
Infrastructure de Marché
Production d'abats
Gestion administrative-Restauration collective
Production de collagène, de gélatine ou de PHR
Découpe de gros gibier d'élevage
Collecte de gibier sauvage
Découpe de produits de charcuterie
Plateforme d'éclatement de produits de la pêche
Vente en gros de viande de volailles
Distribution automatique
Collecte et transformation de miel
