;APP_Libelle_etablissement;SIRET;Adresse_2_UA;Code_postal;Libelle_commune;Numero_inspection;Date_inspection;APP_Libelle_activite_etablissement;Synthese_eval_sanit;Agrement;geores;filtre;ods_type_activite
28862;BRIZARD VINCENT (BIG-BANG II) .;A96260012001;LE PORT;17137;Esnandes;21-093043-1;2021-11-15 01:00:00+01:00;Purification/Expédition de coquillages;Satisfaisant;17153005;46.248967,-1.115688;;Produits de la mer et d'eau douce
28872;CHATEAU Laurent;P00017282001;14 Rue de Villedieu;50000;Saint-Lô;21-094746-1;2021-10-09 02:00:00+02:00;Restaurant;Satisfaisant;;49.113946,-1.099327;Restaurant;Autres
28893;JLS TEPA;P00004673004;TEPA;98600;Uvea;21-041357-1;2021-05-28 02:00:00+02:00;Libre service|Alimentation générale;Très satisfaisant;;-13.319545,-176.189689;Libre service|Alimentation générale;Autres
29044;CHATEAU Laurent;P00017282001;14 Rue de Villedieu;50000;Saint-Lô;21-094756-1;2021-10-09 02:00:00+02:00;Restaurant;Très satisfaisant;;49.113946,-1.099327;Restaurant;Autres
29078;ECOLE MATERNELLE;F00000235001;RUE Emile ZOLA;32810;Preignan;21-095511-1;2021-11-22 01:00:00+01:00;Restauration collective;Très satisfaisant;;43.714965,0.631546;Restauration collective;Autres
29336;LUQUET GEORGES;A64090006001;LE MONT;23130;Peyrat-la-Nonière;21-027418-1;2021-03-28 01:00:00+01:00;Producteur fermier;A améliorer;;46.087831,2.254864;Producteur fermier;Autres
30773;Snack MAHINA;P00005377001;FALALEU;98600;Uvea;21-042149-1;2021-06-01 02:00:00+02:00;Restaurant;Satisfaisant;;-13.28905,-176.17935;Restaurant;Autres
31571;Madame RAPUZZI SEVERINE;A77321016001;QUARTIER DE L IZONNE;05150;Ribeyret;21-033997-1;2021-04-29 02:00:00+02:00;Producteur fermier;Très satisfaisant;;44.413484,5.554714;Producteur fermier;Autres
31672;CHEZ PATRICIA;P00005663001;ROUTE BORD DE MER;98600;Uvea;21-036094-1;2021-05-06 02:00:00+02:00;Restaurant;Satisfaisant;;-13.21929,-176.200925;Restaurant;Autres
32505;CLASS' CROUTE CAFE;P00005896001;MATA UTU;98600;Uvea;21-034551-1;2021-05-04 02:00:00+02:00;Restaurant;Très satisfaisant;;-13.280004,-176.196641;Restaurant;Autres
33219;HANBOWL;P00018714001;25, avenue du Maine;75015;Paris 15e  Arrondissement;21-104162-1;2021-12-09 01:00:00+01:00;Restaurant;Très satisfaisant;;48.843127,2.320874;Restaurant;Autres
33369;VILLENEUVE ECONOMAT CENTRAL .;A75329010001;28 Avenue de Fumel;47300;Villeneuve-sur-Lot;21-005006-1;2021-11-23 01:00:00+01:00;Restauration collective;Très satisfaisant;47323154;44.407157,0.71722;Restauration collective;Autres
33564;FATIMA ATHOUMANI FATIMA;A65365019001;ZONE NEL FACE DE TETRAMA KAWENI;97600;Mamoudzou;21-012717-1;2021-11-02 01:00:00+01:00;Restaurant;Satisfaisant;;-12.765647,45.223291;Restaurant;Autres
33601;M'BAREK MOHAMED;A00015003001;RUE DES QUINTAINES;41200;Romorantin-Lanthenay;21-059194-1;2021-07-20 02:00:00+02:00;Chaîne d'abattage d'animaux boucherie/Gibier ongulé élevage;Satisfaisant;41194005;47.351003,1.737427;;Abattoirs
33768;LIFUKA Vailala;P00006494001;Vailala;98600;Uvea;21-037326-1;2021-05-11 02:00:00+02:00;Libre service|Alimentation générale;Satisfaisant;;-13.22608,-176.19575;Libre service|Alimentation générale;Autres
33782;SUPER HIHIFO;P00006493001;;98600;Uvea;21-037325-1;2021-05-11 02:00:00+02:00;Libre service|Alimentation générale;Très satisfaisant;;-13.238401,-176.181738;Libre service|Alimentation générale;Autres
34847;Relais d'Alele;P00006839001;Alele Auli;98600;Uvea;21-039955-1;2021-05-18 02:00:00+02:00;Libre service|Alimentation générale;Satisfaisant;;-13.244974,-176.17994;Libre service|Alimentation générale;Autres
35179;Superette Chez MANANIUHA;P00007010001;LIKU;98600;Uvea;21-039173-1;2021-05-19 02:00:00+02:00;Libre service|Alimentation générale;Satisfaisant;;-13.26957,-176.168954;Libre service|Alimentation générale;Autres
35434;MENARD VINCENT;A87117371001;pointe des Chardons   DAIRE;17560;Bourcefranc-le-Chapus;21-010963-1;2021-02-12 01:00:00+01:00;Purification/Expédition de coquillages;Satisfaisant;17058271;45.850815,-1.141508;;Produits de la mer et d'eau douce
