79,16241332,A améliorer,2021-11-19 01:00:00+01:00,38869008300018
80,16159183,Très satisfaisant,2021-09-07 02:00:00+02:00,40752308300019
81,16041735,Très satisfaisant,2021-06-15 02:00:00+02:00,38388075400015
82,16135190,Satisfaisant,2021-08-24 02:00:00+02:00,38931355200025
83,15893668,Satisfaisant,2021-02-12 01:00:00+01:00,40874320100019
84,15894396,A améliorer,2021-02-05 01:00:00+01:00,38527168900015
85,16264631,Très satisfaisant,2021-11-30 01:00:00+01:00,38961520400028
86,16017310,Satisfaisant,2021-05-28 02:00:00+02:00,41212912400019
87,16131457,Très satisfaisant,2021-08-18 02:00:00+02:00,38874663800013
88,15981801,Très satisfaisant,2021-04-26 02:00:00+02:00,39265652600028
89,15999137,A améliorer,2021-05-06 02:00:00+02:00,41355612700012
90,16235277,Très satisfaisant,2021-11-16 01:00:00+01:00,38891352700049
91,15938284,Très satisfaisant,2021-03-19 01:00:00+01:00,39309972600027
92,16199480,Satisfaisant,2021-10-13 02:00:00+02:00,41501702900042
93,15979543,Satisfaisant,2021-04-21 02:00:00+02:00,39106707100038
94,16183809,A améliorer,2021-09-29 02:00:00+02:00,39751646900020
95,16286696,Très satisfaisant,2021-12-15 01:00:00+01:00,41771301300015
96,15922842,Satisfaisant,2021-03-04 01:00:00+01:00,39155328600058
97,16152912,Satisfaisant,2021-09-08 02:00:00+02:00,39765375900027
98,15988800,A améliorer,2021-04-26 02:00:00+02:00,41776793600020
99,15918121,Satisfaisant,2021-03-04 01:00:00+01:00,39207388800019
100,16075282,Satisfaisant,2021-07-07 02:00:00+02:00,40064924000019
101,16250663,Satisfaisant,2021-11-26 01:00:00+01:00,41869146500037
102,16036495,Très satisfaisant,2021-06-10 02:00:00+02:00,39273224400026
103,16148808,Très satisfaisant,2021-09-06 02:00:00+02:00,40808884700020
104,15916328,A améliorer,2021-03-04 01:00:00+01:00,41969534101412
105,15988446,Très satisfaisant,2021-04-30 02:00:00+02:00,39496135300023
106,16316085,Très satisfaisant,2022-01-21 01:00:00+01:00,40861360200015
107,15922916,Satisfaisant,2021-03-09 01:00:00+01:00,42097464400015
108,16161902,Très satisfaisant,2021-09-15 02:00:00+02:00,39506792900012
109,16107995,Satisfaisant,2021-07-27 02:00:00+02:00,40861719900042
110,15885941,Satisfaisant,2021-02-08 01:00:00+01:00,42164148100013
111,16124819,Satisfaisant,2021-08-12 02:00:00+02:00,39769021500017
112,16160911,Satisfaisant,2021-09-15 02:00:00+02:00,40940966100025
113,15890450,Satisfaisant,2021-02-10 01:00:00+01:00,42170182200031
114,16126813,Satisfaisant,2021-08-16 02:00:00+02:00,40043325600023
115,15980199,A améliorer,2021-04-19 02:00:00+02:00,41040901500352
116,16081267,A améliorer,2021-07-06 02:00:00+02:00,42235886100017
117,16045033,Très satisfaisant,2021-06-16 02:00:00+02:00,40138602400012
118,16242702,Satisfaisant,2021-11-22 01:00:00+01:00,41040946001093
119,16162300,Très satisfaisant,2021-09-08 02:00:00+02:00,42261922100019
120,16045072,Très satisfaisant,2021-06-16 02:00:00+02:00,40138621400019
121,15995512,Satisfaisant,2021-04-29 02:00:00+02:00,41040946002232
122,16022938,Satisfaisant,2021-06-02 02:00:00+02:00,42326332600013
123,16196737,A améliorer,2021-10-12 02:00:00+02:00,40373421300016
124,16248699,Satisfaisant,2021-11-25 01:00:00+01:00,41312287000087
125,15944552,Satisfaisant,2021-03-24 01:00:00+01:00,42373286600011
127,15903317,A améliorer,2021-02-22 01:00:00+01:00,41456850100020
128,15898453,Satisfaisant,2021-02-17 01:00:00+01:00,42826802333888
129,16200570,A améliorer,2021-10-12 02:00:00+02:00,41040946000962
130,16007853,A améliorer,2021-05-19 02:00:00+02:00,41459903500907
131,15968762,A améliorer,2021-04-14 02:00:00+02:00,42826802342665
132,16288599,A améliorer,2021-12-17 01:00:00+01:00,41126095300012
133,16253382,Satisfaisant,2021-11-29 01:00:00+01:00,41817066800010
134,16183898,Satisfaisant,2021-09-29 02:00:00+02:00,42904727700018
135,16112877,Satisfaisant,2021-08-03 02:00:00+02:00,41146349000036
136,16204507,Très satisfaisant,2021-10-13 02:00:00+02:00,42249106800017
137,16290822,Très satisfaisant,2021-12-17 01:00:00+01:00,43252418900011
138,16181331,Satisfaisant,2021-09-30 02:00:00+02:00,41387401700010
139,16142839,A améliorer,2021-08-31 02:00:00+02:00,42429351200028
140,15960545,Satisfaisant,2021-04-06 02:00:00+02:00,43301669800022
141,16132609,Très satisfaisant,2021-08-19 02:00:00+02:00,41404554200019
142,15978869,Satisfaisant,2021-04-21 02:00:00+02:00,43950393900019
144,15990124,A améliorer,2021-04-30 02:00:00+02:00,42826802330561
145,16121052,A améliorer,2021-08-10 02:00:00+02:00,43970662300022
146,16111929,Très satisfaisant,2021-07-29 02:00:00+02:00,41538636600017
147,15957478,Satisfaisant,2021-04-02 02:00:00+02:00,42907152500019
148,15901039,A améliorer,2021-02-05 01:00:00+01:00,43985684000012
149,15947445,Satisfaisant,2021-03-26 01:00:00+01:00,42153324100020
150,15948072,Satisfaisant,2021-03-18 01:00:00+01:00,43201772100015
151,15989496,Satisfaisant,2021-04-30 02:00:00+02:00,44273022200035
152,16111902,Satisfaisant,2021-08-03 02:00:00+02:00,42342767300029
153,16091893,Très satisfaisant,2021-07-20 02:00:00+02:00,43285564100010
154,16171930,Satisfaisant,2021-09-22 02:00:00+02:00,44336343700015
155,15993725,A améliorer,2021-04-14 02:00:00+02:00,42402468500010
156,16063435,Satisfaisant,2021-06-30 02:00:00+02:00,43398795500013
157,16250560,Très satisfaisant,2021-11-24 01:00:00+01:00,44384737100046
158,16088363,Satisfaisant,2021-07-16 02:00:00+02:00,42417327600017
159,16020336,A améliorer,2021-05-26 02:00:00+02:00,43489425900010
160,15986168,Satisfaisant,2021-04-22 02:00:00+02:00,44748556600023
161,16026855,A améliorer,2021-06-01 02:00:00+02:00,42424516500016
162,15895407,Très satisfaisant,2021-02-04 01:00:00+01:00,43499801900021
163,16087573,Satisfaisant,2021-07-16 02:00:00+02:00,44875799700755
164,16249287,Satisfaisant,2021-11-25 01:00:00+01:00,43780881900019
165,15909439,A améliorer,2021-02-24 01:00:00+01:00,44953057500090
166,16186849,Satisfaisant,2021-10-05 02:00:00+02:00,42506811100029
167,16019043,A améliorer,2021-05-28 02:00:00+02:00,44016876300017
168,15940279,Satisfaisant,2021-03-22 01:00:00+01:00,45132133500627
169,15889655,Satisfaisant,2021-02-10 01:00:00+01:00,42826802300325
170,16218319,Satisfaisant,2021-10-26 02:00:00+02:00,44028375208039
171,15935778,Satisfaisant,2021-03-18 01:00:00+01:00,45132133501088
172,15873378,Satisfaisant,2021-01-29 01:00:00+01:00,42826802339331
173,16083248,Très satisfaisant,2021-07-06 02:00:00+02:00,44168289500020
174,16178880,Satisfaisant,2021-09-28 02:00:00+02:00,45132133501997
175,16185678,Satisfaisant,2021-10-04 02:00:00+02:00,42826802339869
176,16023765,Satisfaisant,2021-06-02 02:00:00+02:00,44378856700024
177,16115235,Satisfaisant,2021-07-29 02:00:00+02:00,45172205200011
178,16169662,A améliorer,2021-09-21 02:00:00+02:00,42826802344034
179,16074800,Très satisfaisant,2021-07-06 02:00:00+02:00,44440856100017
180,15949744,A améliorer,2021-03-29 02:00:00+02:00,45223272100012
181,15954278,Satisfaisant,2021-03-31 02:00:00+02:00,43145406500019
182,16100231,Satisfaisant,2021-07-23 02:00:00+02:00,44493526600015
183,16065440,Satisfaisant,2021-07-01 02:00:00+02:00,45250528200015
184,16168392,Satisfaisant,2021-09-21 02:00:00+02:00,43223841800011
185,16011123,Satisfaisant,2021-05-25 02:00:00+02:00,44748741400024
186,15883744,Satisfaisant,2021-02-05 01:00:00+01:00,45369885400065
187,16064581,Satisfaisant,2021-06-30 02:00:00+02:00,43834683500020
188,16161586,Satisfaisant,2021-09-15 02:00:00+02:00,44814194500015
189,15883766,Satisfaisant,2021-02-05 01:00:00+01:00,45369885400081
190,16051849,Satisfaisant,2021-06-22 02:00:00+02:00,43840198600015
191,16060404,Très satisfaisant,2021-06-29 02:00:00+02:00,44953139100919
192,15891786,A améliorer,2021-02-11 01:00:00+01:00,45373573000021
193,15933733,Satisfaisant,2021-03-12 01:00:00+01:00,43869506600029
194,15971947,Satisfaisant,2021-04-16 02:00:00+02:00,45042848700018
195,16028070,A améliorer,2021-05-27 02:00:00+02:00,45399355200018
196,16271104,Très satisfaisant,2021-12-08 01:00:00+01:00,43905691200017
197,16189051,Très satisfaisant,2021-10-05 02:00:00+02:00,45132133500205
198,16049047,A améliorer,2021-06-21 02:00:00+02:00,47845579301444
199,16154431,Satisfaisant,2021-09-09 02:00:00+02:00,43962601100068
200,16161735,Satisfaisant,2021-09-15 02:00:00+02:00,45132133500551
201,16286058,Très satisfaisant,2021-12-16 01:00:00+01:00,47848889300023
202,16063064,A améliorer,2021-06-09 02:00:00+02:00,44311991200014
203,16040901,Satisfaisant,2021-06-11 02:00:00+02:00,45132133501211
204,16013187,Satisfaisant,2021-05-26 02:00:00+02:00,47872432100011
205,16070688,Satisfaisant,2021-07-03 02:00:00+02:00,44526405400021
206,16035192,Satisfaisant,2021-06-08 02:00:00+02:00,45194922600018
207,16207466,Très satisfaisant,2021-10-20 02:00:00+02:00,47993164400013
208,16173320,Très satisfaisant,2021-09-23 02:00:00+02:00,44815519200017
209,16215139,A améliorer,2021-10-19 02:00:00+02:00,45212554500023
210,15923923,Satisfaisant,2021-03-10 01:00:00+01:00,48235112900028
211,16118651,Très satisfaisant,2021-05-26 02:00:00+02:00,44990119800019
212,16104155,Satisfaisant,2021-07-27 02:00:00+02:00,45372640800025
213,15918835,Satisfaisant,2021-03-05 01:00:00+01:00,48313132200016
214,16148776,Très satisfaisant,2021-09-06 02:00:00+02:00,45009153300031
215,16073785,Satisfaisant,2021-07-05 02:00:00+02:00,48184363900016
216,16155962,Très satisfaisant,2021-09-10 02:00:00+02:00,48382540200017
217,16238168,A améliorer,2021-11-18 01:00:00+01:00,45033501300014
218,16073434,Satisfaisant,2021-07-06 02:00:00+02:00,48234097301617
219,16194146,A améliorer,2021-10-08 02:00:00+02:00,48387746000012
220,16212211,Satisfaisant,2021-10-22 02:00:00+02:00,45046313800013
221,16162328,Très satisfaisant,2021-09-09 02:00:00+02:00,48251814900026
222,16057840,Très satisfaisant,2021-06-24 02:00:00+02:00,48437030900029
224,16146149,Très satisfaisant,2021-09-02 02:00:00+02:00,48306450700013
225,16235226,A améliorer,2021-10-08 02:00:00+02:00,48954338900014
226,16008785,Très satisfaisant,2021-05-20 02:00:00+02:00,45212071000010
227,15930260,A améliorer,2021-02-25 01:00:00+01:00,48358328200049
228,16314287,Satisfaisant,2022-01-19 01:00:00+01:00,49025673200028
229,16097032,A améliorer,2021-07-22 02:00:00+02:00,45227018400016
